"Date","FLUXNET site ID","Koppen (climate)","IGBP (vegetation)","Evapotranspiration (mm)","Air temperature (°C)","Shortwave radiation (W/m2)","Longwave radiation (W/m2)","Atmospheric pressure(kPa)","2-m wind speed (m/s)","Relative humidity (%)","Specific humidity (kg/kg)"
2014-04-12,"AU-Rig","Temperate","Grassland",3.44116042600417,18.4302083333333,210.375,324,99.3991666666667,2.07078197842544,65.0625,0.00867241057654211
2014-04-13,"AU-Rig","Temperate","Grassland",3.48059130467906,16.8229166666667,208.666666666667,308.5,99.6595833333333,1.43117640415273,65.1666666666667,0.00782399207267661
2014-04-14,"AU-Rig","Temperate","Grassland",3.07506498609061,15.6116666666667,204.875,293.541666666667,99.8835416666667,1.16873382208014,58.2708333333333,0.00645602104361247
2014-04-15,"AU-Rig","Temperate","Grassland",2.83078540872558,14.6775,198.854166666667,295.75,99.9452083333333,0.732953414842246,65.0833333333333,0.00678748227575761
2014-04-16,"AU-Rig","Temperate","Grassland",2.33210830388239,13.96625,181.770833333333,316.125,99.82125,0.707966366608988,74.1875,0.00740074860973948
2014-04-17,"AU-Rig","Temperate","Grassland",2.69604673690783,14.3816666666667,189.395833333333,317.666666666667,99.8120833333333,0.629547894480711,74.0416666666667,0.00758930204948857
2014-04-18,"AU-Rig","Temperate","Grassland",1.78603743525998,13.0402083333333,99.9583333333333,322.8125,99.5441666666667,1.69739061614732,76.2916666666667,0.00718412509618483
2014-04-19,"AU-Rig","Temperate","Grassland",2.08359364488733,10.8314583333333,157.0625,296,99.699375,1.58691328968203,74.9166666666667,0.0060848835180125
2014-04-20,"AU-Rig","Temperate","Grassland",1.18280713953062,9.371875,85.8958333333333,317.625,99.679375,0.720538466348992,80.9166666666667,0.00596154002947147
2014-04-21,"AU-Rig","Temperate","Grassland",2.47349367530748,11.35625,152.354166666667,312.625,99.7966666666667,2.05349534128294,71.5833333333333,0.0060141266862003
2014-04-22,"AU-Rig","Temperate","Grassland",1.79732599241755,15.2104166666667,72.609375,359.229166666667,99.459375,2.45234520553458,68.8541666666667,0.00747091806495556
2014-04-23,"AU-Rig","Temperate","Grassland",2.17278118777225,13.665625,154.25,320.041666666667,99.3391666666667,0.668364252427974,76.3333333333333,0.00750420355536717
2014-04-24,"AU-Rig","Temperate","Grassland",2.40019220667112,11.230625,156.770833333333,301.875,99.454375,1.59257073456503,72.1458333333333,0.00603188143160955
2014-04-25,"AU-Rig","Temperate","Grassland",2.38259599893658,11.518125,184.854166666667,289.8125,99.5579166666667,1.47470729950249,68.1875,0.00580369232379253
2014-04-26,"AU-Rig","Temperate","Grassland",2.48112700075698,14.3358333333333,132.8125,334.4375,99.2958333333333,1.91598800037664,68.0208333333333,0.00698510341665278
2014-04-27,"AU-Rig","Temperate","Grassland",2.1361570120739,12.1133333333333,189.979166666667,280.854166666667,99.9475,1.84621284681962,62.8333333333333,0.00553970067771502
2014-04-28,"AU-Rig","Temperate","Grassland",2.10525925623622,15.3375,166.604166666667,331.041666666667,99.8420833333333,2.20090321073449,74.3333333333333,0.00810348581712062
2014-04-29,"AU-Rig","Temperate","Grassland",0.99409496720961,16.263125,24.0625,374.541666666667,99.10375,2.29368530681572,80.1041666666667,0.00934150172053483
2014-04-30,"AU-Rig","Temperate","Grassland",2.30061303575565,11.989375,159.333333333333,323.979166666667,99.4729166666667,1.89477258206539,76.3958333333333,0.00671731701136524
2014-05-01,"AU-Rig","Temperate","Grassland",2.43185119660929,10.2808333333333,179.229166666667,291.916666666667,99.4375,1.19073499662515,68.7083333333333,0.00539140557129007
2014-05-02,"AU-Rig","Temperate","Grassland",1.41146146670583,10.3977083333333,60.5208333333333,347.25,98.2766666666667,1.7915242129506,78.2291666666667,0.00626296145213675
